Permutation,eval_r2,eval_mape,eval_mdape,eval_consensus
"('DESTROYED', 'INCOME', 'AGE_DEPENDENCY', 'TENURE_SECURITY')",0.7537056444728353,0.14626474018493957,0.1174476813884411,0.17000225903351515
"('DESTROYED', 'I(INCOME>0.7)', 'PALMA')",0.7569311149070708,0.14912998174616274,0.11783186627470055,0.1700102443712642
"('DESTROYED', 'I(INCOME>0.7)', 'GRID_SMOD', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY')",0.7558377813603315,0.14593819103413133,0.12014317432370229,0.17008119466583405
"('DESTROYED', 'I(INCOME>0.7)', 'PALMA', 'I(AGE_DEPENDENCY>0.67)', 'DESTROYED×INCOME')",0.7592938153598379,0.15211778813023263,0.11742490893784097,0.17008296056941194
"('DESTROYED', 'I(DESTROYED>4.5)', 'INCOME', 'I(PALMA>0.06)', 'TENURE_SECURITY')",0.763161264667591,0.15944886084224574,0.11413539021545682,0.1701409954633705
"('DESTROYED', 'PALMA', 'AGE_DEPENDENCY', 'EPR', 'DESTROYED×INCOME')",0.7461745290018218,0.1471154750483306,0.10958029632735054,0.17017374745795313
"('DESTROYED', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY')",0.7542002649468895,0.14310073436210588,0.12164127569887537,0.17018058170469721
"('DESTROYED', 'INCOME', 'I(INCOME>0.7)', 'PALMA', 'AGE_DEPENDENCY')",0.7568974045650765,0.1504542783120216,0.11706014649581126,0.1702056734142521
"('DESTROYED', 'INCOME', 'PALMA', 'I(PALMA>0.06)', 'AGE_DEPENDENCY')",0.7478125703562097,0.1474186409273036,0.11103545788507324,0.1702138428187224
"('DESTROYED', 'I(INCOME>0.7)', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY', 'EPR')",0.7588283850274868,0.14801569506013076,0.1214956963605806,0.1702276687977415
"('DESTROYED', 'INCOME', 'I(AGE_DEPENDENCY>0.67)')",0.7579871030822285,0.14664108096064563,0.12203616122985955,0.17023004636942554
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(INCOME>0.7)', 'I(PALMA>0.06)', 'GRID_SMOD')",0.7636509682117869,0.1613468398931888,0.11321870265967847,0.17030485811369345
"('DESTROYED', 'I(PALMA>0.06)', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY')",0.7452742893988477,0.14136431316214432,0.11485129581517547,0.17031377319282404
"('DESTROYED', 'PALMA', 'AGE_DEPENDENCY', 'TENURE_SECURITY', 'DESTROYED×INCOME')",0.7450322372208473,0.14485750460284266,0.11140087039908375,0.17040871259369303
"('DESTROYED', 'I(AGE_DEPENDENCY>0.67)', 'TENURE_SECURITY', 'DESTROYED×INCOME')",0.7531530289612747,0.14385692459742763,0.12060821620146053,0.17043737061253783
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(AGE_DEPENDENCY>0.67)', 'DESTROYED×INCOME')",0.7762779764579145,0.1587532423113936,0.12888645438642732,0.17045390674663544
"('DESTROYED', 'I(DESTROYED>4.5)', 'PALMA', 'I(TENURE_SECURITY>0.81)')",0.7674066953050127,0.16350158674272275,0.11537161089920231,0.17048883411230412
"('DESTROYED', 'I(DESTROYED>4.5)', 'PALMA', 'I(PALMA>0.06)', 'TENURE_SECURITY')",0.7653115282462939,0.16159121997146006,0.11526674110022837,0.17051547760846483
"('DESTROYED', 'AGE_DEPENDENCY', 'DESTROYED×INCOME')",0.7561646599228481,0.14745457509639878,0.12034711490941388,0.17054567669432152
"('DESTROYED', 'I(DESTROYED>4.5)', 'I(PALMA>0.06)', 'TENURE_SECURITY', 'DESTROYED×INCOME')",0.7644227278683968,0.1597798040210186,0.11631435349132274,0.17055714321464818
